subid,balanced,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,response,Mood,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS,LSAS,LSAS_FEAR,LSAS_AVOIDANCE,CESD,UCLA_loneliness,BISBAS_BIS,BISBAS_BASRR,BISBAS_FS,BISBAS_BASD,RSE,STAI,UM_AFFILIATION,UM_INTIMACY,COVIDexperience_score,COVIDimpacts_score,COVIDthreat_score,COVIDpsychstress_score,MSSSF
55ea70c37480920010aa9982,0,6,0.05,0.02,0,0.02,2.451999903,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,7,0.04,0.01,0,0.01,3.698000193,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,8,0.05,0.02,1,0.05,2.088999987,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,9,0.05,0.04,0,0.04,1.754999876,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,10,0.01,0.03,0,0.03,1.75,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,11,0.01,0.05,0,0.05,3.318000078,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,12,0.04,0.03,0,0.03,3.144000053,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,13,0.01,0.05,0,0.05,2.73300004,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,14,0.05,0.02,0,0.02,2.828999996,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,15,0.01,0.02,0,0.02,2.680000067,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,16,0.03,0.05,1,0.03,4.365999937,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,17,0.01,0.01,1,0.01,3.967000008,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,18,0.02,0.03,0,0.03,3.898000002,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,19,0.02,0.04,0,0.04,1.867000103,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,20,0.04,0.01,0,0.01,2.731000185,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,21,0.03,0.05,0,0.05,1.914000034,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,22,0.02,0.04,1,0.02,2.960999966,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,23,0.02,0.05,0,0.05,2.666000128,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,24,0.05,0.03,1,0.05,2.229000092,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,25,0.04,0.03,0,0.03,2.677000046,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,26,0.02,0.01,1,0.02,2.500999928,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,27,0.03,0.02,0,0.02,1.851999998,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,28,0.03,0.03,0,0.03,2.015000105,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
