,participant,balanced,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS
144,60e41b5208ffba4a93ddbab3,0,0.024,0.0225,0.72,0.45,0.6,0.4,1,1,19,5.583333333,68,15,19,18,16,13.0
145,60e4bcdf85f979aaddffa104,0,0.037142857,0.032413793,0.78,0.94,0.42,0.58,1,0,27,5.666666667,77,22,17,12,26,16.0
146,60e5194cff6d453e2b606c55,0,0.030322581,0.031578947,0.94,0.6,0.62,0.38,0,1,22,4.083333333,77,22,24,9,22,17.0
147,60e637111a022da8d1963a65,0,0.0412,0.036,1.03,0.9,0.5,0.5,1,0,27,5.333333333,64,15,17,21,11,18.0
148,60e85ae17458a7cea972d355,1,0.031470588,0.03,1.07,0.48,0.68,0.32,1,1,22,5.666666667,87,23,24,17,23,20.0
149,60e96125cf260de73e1b535c,0,0.03173913,0.03,0.73,0.81,0.46,0.54,1,0,26,6.583333333,82,19,24,19,20,20.0
150,60ea0984f30f7e0a9b839e3b,0,0.028928571,0.027272727,0.81,0.6,0.56,0.44,1,1,16,5.0,63,18,20,7,18,13.0
151,60ec5e30aa066198fa55ec21,0,0.040357143,0.037272727,1.13,0.82,0.56,0.44,1,1,17,5.0,57,16,18,7,16,16.0
152,60edd81b455433dae20025fd,0,0.034444444,0.032173913,0.93,0.74,0.54,0.46,1,1,26,3.333333333,54,16,14,11,13,16.0
153,60f42d83362792b0bc8d3d47,0,0.015714286,0.02,0.33,0.58,0.42,0.58,0,0,26,4.666666667,67,11,22,16,18,17.0
154,60f78540800263ad2ec44139,1,0.0303125,0.032777778,0.97,0.59,0.64,0.36,0,1,25,1.916666667,42,14,11,10,7,12.0
155,60fc6bdffe3e6e8caf924670,1,0.022272727,0.023571429,0.49,0.66,0.44,0.56,0,0,17,7.0,92,24,24,24,20,20.0
156,60fce8cc5025f6e4d0d6baae,1,0.031612903,0.026875,0.98,0.43,0.659574468,0.340425532,1,1,18,6.5,78,18,21,14,25,14.0
157,60fd12b459a8dcda3d177cdd,1,0.032,0.027083333,0.8,0.65,0.510204082,0.489795918,1,1,25,6.0,64,28,16,12,8,14.0
158,60fd55f559e7795b518f7438,1,0.029512195,0.02,1.21,0.18,0.82,0.18,1,1,21,6.166666667,66,13,22,16,15,17.0
159,60fd60e7587e4f2e860338b4,1,0.031025641,0.035454545,1.21,0.39,0.78,0.22,0,1,14,6.5,65,7,25,6,27,19.0
160,60fd7f782b0c5f0b6503302a,1,0.03047619,0.03125,1.28,0.25,0.84,0.16,0,1,21,3.166666667,62,5,23,15,19,13.0
161,60fd89617258b322c92fdd03,1,0.030384615,0.02625,0.79,0.63,0.52,0.48,1,1,27,5.916666667,77,24,25,16,12,17.0
162,60fd91a262d0675da55aae6c,1,0.030689655,0.030952381,0.89,0.65,0.58,0.42,0,1,23,6.666666667,41,12,16,9,4,12.0
163,60fd9a010279e0f7e338571a,1,0.031153846,0.026666667,0.81,0.64,0.52,0.48,1,1,15,5.916666667,62,14,23,5,20,16.0
164,60fdae513bfebe2fe0122138,1,0.030434783,0.025769231,0.7,0.67,0.469387755,0.530612245,1,0,24,5.25,94,24,24,18,28,16.0
165,60fdce10226d20ddc8990f04,1,0.022380952,0.024482759,0.47,0.71,0.42,0.58,0,0,20,5.333333333,82,20,22,21,19,11.0
166,60fe1299611da2fff6f047f4,1,0.030357143,0.027727273,0.85,0.61,0.56,0.44,1,1,18,4.666666667,65,15,20,12,18,16.0
167,60fe2fb42ec6d443757a92fc,1,0.033571429,0.032727273,0.94,0.72,0.56,0.44,1,1,27,7.0,78,18,26,12,22,19.0
168,60fe38317cb19f2601f75e05,1,0.0276,0.0292,0.69,0.73,0.5,0.5,0,0,32,4.416666667,84,26,22,21,15,16.0
169,60fe91b1b413bc0938bd4628,1,0.029166667,0.03,1.05,0.27,0.8,0.2,0,1,23,5.25,68,21,21,13,13,13.0
