subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
5f793609f8089e53266336f5,50,0.04,0.05,1,0.04,1.0551,19,6.5,76,18,20,13,25
5f963718a844b719781e9e85,1,0.05,0.05,0,0.05,2.4864,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,2,0.05,0.01,0,0.01,1.8036,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,3,0.02,0.02,0,0.02,2.1054,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,4,0.05,0.03,0,0.03,1.7898,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,5,0.05,0.02,0,0.02,2.0879,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,6,0.01,0.04,1,0.01,2.1388,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,7,0.03,0.05,0,0.05,2.5217,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,8,0.05,0.05,0,0.05,2.2201,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,9,0.04,0.01,0,0.01,2.039,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,10,0.04,0.04,1,0.04,2.6755,30,4.416666667,59,14,23,8,14
5f963718a844b719781e9e85,11,0.02,0.05,1,0.02,1.9074,30,4.416666667,59,14,23,8,14
